metric,diabetes.csv,diabetes_cv1_0_cl.csv,diabetes_cv1_0.3_cl.csv,diabetes_cv1_0f_cl.csv,diabetes_cv1_0.3f_cl.csv,gi_cancer.csv,gi_cancer_cv1_0_cl.csv,gi_cancer_cv1_0.3_cl.csv,gi_cancer_cv1_0f_cl.csv,gi_cancer_cv1_0.3f_cl.csv
total,4.160076530612245,4.315532879818594,4.315532879818594,4.315532879818594,4.315532879818594,4.091198979591836,4.315532879818594,4.315532879818594,4.315532879818594,4.315532879818594
ANOnto,0.985,0.998934226552984,0.998934226552984,0.9984036488027366,0.9984036488027366,1.0526315789473684,0.9990110759493672,0.9990110759493672,0.998286693318104,0.998286693318104
AROnto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CBOOnto,0.995,0.9998477466504264,0.9998477466504264,0.9997719498289624,0.9997719498289624,1.0175438596491229,1.0,0.9998022151898734,1.0,0.9997144488863506
CBOnto2,0.995,0.9998477466504264,0.9998477466504264,0.9997719498289624,0.9997719498289624,1.0175438596491229,1.0,0.9998022151898734,1.0,0.9997144488863506
CROnto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DITOnto,6.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,3.0
INROnto,0.995,0.9998477466504264,0.9998477466504264,0.9997719498289624,0.9997719498289624,1.0175438596491229,1.0,0.9998022151898734,1.0,0.9997144488863506
LCOMOnto,3.3485714285714288,1.997714459850678,1.997714459850678,1.9965753424657533,1.9965753424657533,3.3877551020408165,1.9970308788598572,1.997030291031479,1.995711835334477,1.9957106090935088
NACOnto,1.0,1.0,1.0,1.0,1.0,1.0315789473684212,1.000197980597901,1.0,1.000285959393766,1.0
NOCOnto,7.96,1313.4,1313.4,876.8,876.8,6.105263157894737,1011.2,1011.0,700.4,700.2
NOMOnto,0.04,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.0,0.0,0.0
POnto,0.99,0.998934226552984,0.998934226552984,0.9984036488027366,0.9984036488027366,1.0175438596491229,0.9988132911392406,0.998615506329114,0.998286693318104,0.9980011422044546
PROnto,0.038647342995169,0.0,0.0,0.0,0.0,0.0491803278688524,0.0,0.0,0.0,0.0
RFCOnto,1.035,0.9998477466504264,0.9998477466504264,0.9997719498289624,0.9997719498289624,1.0701754385964912,1.0,0.9998022151898734,1.0,0.9997144488863506
RROnto,0.961352657004831,1.0,1.0,1.0,1.0,0.9508196721311476,1.0,1.0,1.0,1.0
TMOnto,0.0,0.0,0.0,0.0,0.0,0.0265486725663716,0.0001978239366963,0.0,0.0002856326763781,0.0
TMOnto2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0
WMCOnto,3.3485714285714288,1.997714459850678,1.997714459850678,1.9965753424657533,1.9965753424657533,3.494736842105264,1.9974262522272817,1.997030291031479,1.996282527881041,1.9957106090935088
WMCOnto2,1.0,1.0,1.0,1.0,1.0,1.0315789473684212,1.000197980597901,1.0,1.000285959393766,1.0
